start,steps_to_1,maximum,parity_word,parity_length,odd_count,even_count,odd_transition_count,odd_ratio,zero_run_count,max_zero_run,mean_zero_run,first_16_bits,last_16_bits
172,31,196,00101001001000010101001000100001,32,10,22,9,0.3125,10,4,2.2000,0010100100100001,0101001000100001
173,31,520,10001001001000010101001000100001,32,10,22,9,0.3125,9,4,2.4444,1000100100100001,0101001000100001
174,31,592,01010100001000010101001000100001,32,10,22,9,0.3125,10,4,2.2000,0101010000100001,0101001000100001
175,80,9232,101010100100010101001010010101010101000101010100001001001000010001010100000100001,81,29,52,28,0.35802469135802467,28,5,1.8571,1010101001000101,1010100000100001
176,18,176,0000101001000100001,19,5,14,4,0.2631578947368421,5,4,2.8000,0000101001000100,0101001000100001
177,31,532,10010000100101000101001000100001,32,10,22,9,0.3125,9,4,2.4444,1001000010010100,0101001000100001
178,31,304,01001010000101000101001000100001,32,10,22,9,0.3125,10,4,2.2000,0100101000010100,0101001000100001
179,31,808,10100010000101000101001000100001,32,10,22,9,0.3125,9,4,2.4444,1010001000010100,0101001000100001
180,18,180,0010001001000100001,19,5,14,4,0.2631578947368421,5,4,2.8000,0010001001000100,0001001000100001
181,18,544,1000001001000100001,19,5,14,4,0.2631578947368421,4,5,3.5000,1000001001000100,0001001000100001
182,93,9232,0101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,94,34,60,33,0.3617021276595745,34,5,1.7647,0101001010100101,1010100000100001
183,93,9232,1010100010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,94,34,60,33,0.3617021276595745,33,5,1.8182,1010100010100101,1010100000100001
184,18,184,0001010100000100001,19,5,14,4,0.2631578947368421,5,5,2.8000,0001010100000100,1010100000100001
185,44,628,100101001000101001010000101000101001000100001,45,15,30,14,0.3333333333333333,14,4,2.1429,1001010010001010,0101001000100001
186,18,280,0100010100000100001,19,5,14,4,0.2631578947368421,5,5,2.8000,0100010100000100,0010100000100001
187,44,952,101001010001010100010000101000101001000100001,45,15,30,14,0.3333333333333333,14,4,2.1429,1010010100010101,0101001000100001
188,106,9232,00101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,107,39,68,38,0.3644859813084112,39,5,1.7436,0010101010010010,1010100000100001
189,106,9232,10001010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,107,39,68,38,0.3644859813084112,38,5,1.7895,1000101010010010,1010100000100001
190,106,9232,01010101010000101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,107,39,68,38,0.3644859813084112,39,5,1.7436,0101010101000010,1010100000100001
191,44,4372,101010101010010000100010001000101001000100001,45,15,30,14,0.3333333333333333,14,4,2.1429,1010101010100100,0101001000100001
192,13,192,00000010100001,14,3,11,2,0.21428571428571427,3,6,3.6667,00000010100001,00000010100001
193,119,9232,100100100010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,120,44,76,43,0.36666666666666664,43,5,1.7674,1001001000100101,1010100000100001
194,119,9232,010010010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,120,44,76,43,0.36666666666666664,44,5,1.7273,0100100101010001,1010100000100001
195,119,9232,101000010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,120,44,76,43,0.36666666666666664,43,5,1.7674,1010000101010001,1010100000100001
196,26,196,001001000010101001000100001,27,8,19,7,0.2962962962962963,8,4,2.3750,0010010000101010,0101001000100001
197,26,592,100001000010101001000100001,27,8,19,7,0.2962962962962963,7,4,2.7143,1000010000101010,0101001000100001
198,26,448,010100000010101001000100001,27,8,19,7,0.2962962962962963,8,6,2.3750,0101000000101010,0101001000100001
199,119,9232,101010010010001010101010000101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,120,44,76,43,0.36666666666666664,43,5,1.7674,1010100100100010,1010100000100001
200,26,200,000100101000101001000100001,27,8,19,7,0.2962962962962963,8,4,2.3750,0001001010001010,0101001000100001
201,18,1024,1001010100000000001,19,5,14,4,0.2631578947368421,4,10,3.5000,1001010100000000,1010100000000001
202,26,304,010000101000101001000100001,27,8,19,7,0.2962962962962963,8,4,2.3750,0100001010001010,0101001000100001
203,39,916,1010010000101001001000010101001000100001,40,13,27,12,0.325,12,4,2.2500,1010010000101001,0101001000100001
