start,odd_start,compressed_length,exponent_word,exponent_sum,exponent_mean,exponent_one_count,exponent_one_ratio,net_log2_factor,max_odd_value
364,91,33,1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,59,1.787879,19,0.575758,-6.696237,3077
365,365,33,3 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,61,1.848485,18,0.545455,-8.696237,3077
366,183,33,1 1 3 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,60,1.818182,19,0.575758,-7.696237,3077
367,367,14,1 1 1 2 1 5 1 4 4 1 1 2 3 4,31,2.214286,7,0.500000,-8.810525,1397
368,23,4,1 1 5 4,11,2.750000,2,0.500000,-4.660150,53
369,369,4,2 6 3 4,15,3.750000,0,0.000000,-8.660150,369
370,185,14,2 1 2 3 1 2 1 4 1 3 1 2 3 4,30,2.142857,5,0.357143,-7.810525,209
371,371,14,1 3 2 3 1 2 1 4 1 3 1 2 3 4,31,2.214286,5,0.357143,-8.810525,557
372,93,4,3 1 5 4,13,3.250000,1,0.250000,-6.660150,93
373,373,4,5 1 5 4,15,3.750000,1,0.250000,-8.660150,373
374,187,14,1 2 1 3 1 1 3 4 1 3 1 2 3 4,30,2.142857,6,0.428571,-7.810525,317
375,375,14,1 1 3 3 1 1 3 4 1 3 1 2 3 4,31,2.214286,6,0.428571,-8.810525,845
376,47,38,1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,66,1.736842,22,0.578947,-5.771425,3077
377,377,21,2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,42,2.000000,11,0.523810,-8.715787,3077
378,189,38,3 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,68,1.789474,21,0.552632,-7.771425,3077
379,379,19,1 2 1 2 2 2 1 1 1 6 1 2 2 4 1 1 2 3 4,39,2.052632,8,0.421053,-8.885712,917
380,95,38,1 1 1 1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,67,1.763158,23,0.605263,-6.771425,3077
381,381,38,3 1 1 1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,69,1.815789,22,0.578947,-8.771425,3077
382,191,14,1 1 1 1 1 2 4 3 3 3 1 2 3 4,30,2.142857,6,0.428571,-7.810525,1457
383,383,14,1 1 1 1 1 1 6 3 3 3 1 2 3 4,31,2.214286,7,0.500000,-8.810525,4373
384,3,2,1 4,5,2.500000,1,0.500000,-1.830075,5
385,385,9,2 2 2 1 5 1 1 5 4,23,2.555556,3,0.333333,-8.735337,385
386,193,43,2 2 3 2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,76,1.767442,23,0.534884,-7.846612,3077
387,387,43,1 4 3 2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,77,1.790698,24,0.558140,-8.846612,3077
388,97,43,2 2 1 1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,75,1.744186,24,0.558140,-6.846612,3077
389,389,43,4 2 1 1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,77,1.790698,24,0.558140,-8.846612,3077
390,195,43,1 4 1 1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,76,1.767442,25,0.581395,-7.846612,3077
